Provinsi,PDRB_Triliun,Tingkat_Kemiskinan_Persen,Volume_QRIS_Juta
Aceh,181.09,14.62,23.51
Sumatera Utara,382.75,12.89,189.37
Sumatera Barat,306.2,7.35,125.2
Riau,259.53,5.07,46.58
Jambi,104.61,11.53,10.69
Sumatera Selatan,104.6,8.84,44.58
Bengkulu,70.33,5.34,26.92
Lampung,353.16,9.45,138.3
Kep. Bangka Belitung,260.39,4.38,106.37
Kep. Riau,297.83,14.0,38.6
DKI Jakarta,3100.0,4.44,1200.0
Jawa Barat,2400.0,11.29,900.0
Jawa Tengah,1600.0,7.43,712.39
DI Yogyakarta,124.32,9.72,43.43
Jawa Timur,2700.0,10.01,800.0
Banten,114.19,6.03,14.32
Bali,156.48,4.25,35.11
Nusa Tenggara Barat,233.66,12.53,53.76
Nusa Tenggara Timur,201.18,14.33,78.83
Kalimantan Barat,151.93,13.84,53.94
Kalimantan Tengah,264.15,10.58,120.16
Kalimantan Selatan,98.82,14.14,28.55
Kalimantan Timur,152.25,4.97,22.51
Kalimantan Utara,178.23,6.16,68.67
Sulawesi Utara,209.62,4.5,84.75
Sulawesi Tengah,324.81,7.58,105.4
Sulawesi Selatan,119.89,8.28,48.96
Sulawesi Tenggara,229.98,6.98,68.42
Gorontalo,257.35,13.12,79.54
Sulawesi Barat,66.26,7.92,17.96
Maluku,262.64,7.09,28.93
Maluku Utara,109.68,9.97,15.7
Papua Barat,72.77,21.04,8.19
Papua,382.11,26.03,135.48
