Provinsi,PDRB_Triliun,Tingkat_Kemiskinan_Persen,Volume_QRIS_Juta
Aceh,195.42,12.22,32.18
Sumatera Utara,412.30,8.45,248.60
Sumatera Barat,328.15,5.95,168.40
Riau,283.70,4.68,63.25
Jambi,113.25,10.82,15.80
Sumatera Selatan,115.80,8.12,59.70
Bengkulu,76.45,5.01,36.10
Lampung,381.20,8.95,182.50
Kep. Bangka Belitung,279.15,4.05,140.20
Kep. Riau,320.50,12.85,52.40
DKI Jakarta,3900.00,4.03,1580.00
Jawa Barat,2850.00,7.18,1180.00
Jawa Tengah,1890.00,6.92,940.00
DI Yogyakarta,134.80,9.15,58.60
Jawa Timur,3150.00,9.48,1050.00
Banten,128.60,5.52,21.80
Bali,172.30,3.42,48.70
Nusa Tenggara Barat,252.40,11.65,72.30
Nusa Tenggara Timur,218.50,17.50,105.40
Kalimantan Barat,165.20,12.40,72.50
Kalimantan Tengah,285.60,9.85,158.30
Kalimantan Selatan,108.45,3.73,39.20
Kalimantan Timur,168.90,4.55,31.40
Kalimantan Utara,192.50,5.78,90.80
Sulawesi Utara,226.40,4.12,112.50
Sulawesi Tengah,348.70,10.52,139.80
Sulawesi Selatan,132.60,7.68,66.40
Sulawesi Tenggara,249.20,6.45,91.50
Gorontalo,275.80,12.62,105.20
Sulawesi Barat,72.40,7.28,24.60
Maluku,282.30,15.25,38.90
Maluku Utara,119.50,9.30,21.80
Papua Barat,78.90,19.58,11.40
Papua,395.80,17.82,162.30
Papua Tengah,48.20,29.45,4.80
Papua Pegunungan,32.50,27.21,2.10
Papua Selatan,52.80,19.26,6.50
Papua Barat Daya,45.30,17.50,5.20
